Email No.,the,to,ect,and,for,of,a,you,in,on,is,this,i,be,that,will
Email 377,0,2,1,1,0,0,8,0,0,0,0,0,12,0,0,0
Email 378,13,9,1,5,3,2,98,1,21,18,4,0,110,4,0,0
Email 379,3,2,7,2,6,0,45,1,7,6,2,1,17,1,0,1
Email 5146,2,0,1,2,7,1,68,1,10,11,2,0,44,0,0,0
Email 5147,0,3,2,0,0,0,7,0,1,1,0,0,3,0,0,0
Email 5148,21,20,2,0,4,4,84,3,15,14,7,2,63,9,2,0
Email 5149,12,6,1,2,5,1,61,1,9,9,2,0,40,1,4,2
Email 5150,10,9,4,7,2,0,107,2,20,15,1,0,63,3,2,2
Email 5151,16,10,3,14,13,7,161,5,26,31,15,2,119,3,0,0
Email 5152,4,4,1,3,2,0,49,1,9,6,0,0,25,1,0,0
Email 5153,2,7,3,0,2,3,37,0,13,18,0,0,43,2,1,1
Email 5154,1,2,4,3,1,0,25,1,2,5,8,0,25,1,0,0
Email 5155,3,5,1,2,1,1,28,2,4,6,4,1,19,1,0,0
Email 5156,7,5,1,0,4,1,36,4,12,2,3,2,32,4,6,3
Email 5157,4,13,1,0,3,1,48,2,8,26,9,1,45,1,0,0
Email 5158,14,10,4,3,6,2,107,1,13,15,4,0,57,3,4,2
Email 5159,2,1,1,0,1,1,16,0,2,4,3,0,13,1,0,0
Email 5160,2,13,1,0,2,1,38,2,7,24,6,1,34,1,0,0
Email 5161,10,5,2,5,2,2,61,6,14,13,15,2,67,3,1,3
Email 5162,59,30,4,16,9,31,195,0,40,56,17,2,167,13,3,2
Email 5163,2,3,1,2,1,2,32,0,7,3,2,0,26,3,0,0
Email 5164,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Email 5165,21,18,3,1,6,4,106,1,18,11,4,3,70,6,3,1
Email 5166,1,0,1,0,3,1,12,1,2,2,1,0,7,0,0,0
Email 5167,1,0,1,1,0,0,4,0,0,0,1,0,1,0,0,0
Email 5168,2,2,2,3,0,0,32,0,5,6,1,0,20,1,0,0
Email 5169,35,27,11,2,6,5,151,4,23,18,6,3,98,10,6,2
Email 5170,0,0,1,1,0,0,11,0,1,1,3,1,10,0,0,0
Email 5171,2,7,1,0,2,1,28,2,8,11,7,1,39,1,0,0
Email 5172,22,24,5,1,6,5,148,8,23,13,5,4,99,6,4,1
